station_code,station_name,agency,subzone_kml,subzone_name,region_name,region_num
EW20,COMMONWEALTH,MRT,53,COMMONWEALTH,CENTRAL REGION,0
EW21,BUONA VISTA,MRT,70,ONE NORTH,CENTRAL REGION,0
EW22,DOVER,MRT,127,SINGAPORE POLYTECHNIC,CENTRAL REGION,0
EW23,CLEMENTI,MRT,128,CLEMENTI CENTRAL,WEST REGION,4
EW23,CLEMENTI,MRT,119,CLEMENTI NORTH,WEST REGION,4
EW24,JURONG EAST,MRT,97,JURONG GATEWAY,WEST REGION,4
EW25,CHINESE GARDEN,MRT,209,LAKESIDE (LEISURE),WEST REGION,4
EW26,LAKESIDE,MRT,208,TAMAN JURONG,WEST REGION,4
EW27,BOON LAY,MRT,214,JURONG WEST CENTRAL,WEST REGION,4
EW28,PIONEER,MRT,214,JURONG WEST CENTRAL,WEST REGION,4
EW29,JOO KOON,MRT,144,JOO KOON,WEST REGION,4
EW3,SIMEI,MRT,196,SIMEI,EAST REGION,1
EW30,GUL CIRCLE,MRT,138,GUL CIRCLE,WEST REGION,4
EW30,GUL CIRCLE,MRT,102,TUAS NORTH,WEST REGION,4
EW31,TUAS CRESCENT,MRT,279,TUAS BAY,WEST REGION,4
EW31,TUAS CRESCENT,MRT,102,TUAS NORTH,WEST REGION,4
EW32,TUAS WEST ROAD,MRT,279,TUAS BAY,WEST REGION,4
EW32,TUAS WEST ROAD,MRT,102,TUAS NORTH,WEST REGION,4
EW33,TUAS LINK,MRT,176,TUAS PROMENADE,WEST REGION,4
EW4,TANAH MERAH,MRT,157,BEDOK SOUTH,EAST REGION,1
EW4,TANAH MERAH,MRT,95,BEDOK NORTH,EAST REGION,1
EW5,BEDOK,MRT,118,FRANKEL,EAST REGION,1
EW5,BEDOK,MRT,95,BEDOK NORTH,EAST REGION,1
EW6,KEMBANGAN,MRT,149,KEMBANGAN,EAST REGION,1
EW7,EUNOS,MRT,121,GEYLANG EAST,CENTRAL REGION,0
EW8,PAYA LEBAR,MRT,301,ALJUNIED,CENTRAL REGION,0
EW8,PAYA LEBAR,MRT,121,GEYLANG EAST,CENTRAL REGION,0
EW9,ALJUNIED,MRT,301,ALJUNIED,CENTRAL REGION,0
NE1,HARBOURFRONT,MRT,35,MARITIME SQUARE,CENTRAL REGION,0
NE10,POTONG PASIR,MRT,100,SENNETT,CENTRAL REGION,0
NE10,POTONG PASIR,MRT,101,POTONG PASIR,CENTRAL REGION,0
NE11,WOODLEIGH,MRT,207,WOODLEIGH,CENTRAL REGION,0
NE11,WOODLEIGH,MRT,206,BIDADARI,CENTRAL REGION,0
NE12,SERANGOON,MRT,177,SERANGOON CENTRAL,NORTH-EAST REGION,3
NE12,SERANGOON,MRT,201,UPPER PAYA LEBAR,NORTH-EAST REGION,3
NE13,KOVAN,MRT,186,LORONG AH SOO,NORTH-EAST REGION,3
NE13,KOVAN,MRT,162,KOVAN,NORTH-EAST REGION,3
NE14,HOUGANG,MRT,165,HOUGANG CENTRAL,NORTH-EAST REGION,3
NE14,HOUGANG,MRT,228,HOUGANG WEST,NORTH-EAST REGION,3
NE15,BUANGKOK,MRT,250,COMPASSVALE,NORTH-EAST REGION,3
NE16,SENGKANG,LRT,236,SENGKANG TOWN CENTRE,NORTH-EAST REGION,3
NE16,SENGKANG,MRT,236,SENGKANG TOWN CENTRE,NORTH-EAST REGION,3
NE17,PUNGGOL,LRT,275,MATILDA,NORTH-EAST REGION,3
NE17,PUNGGOL,LRT,292,PUNGGOL TOWN CENTRE,NORTH-EAST REGION,3
NE17,PUNGGOL,MRT,275,MATILDA,NORTH-EAST REGION,3
NE17,PUNGGOL,MRT,292,PUNGGOL TOWN CENTRE,NORTH-EAST REGION,3
NE18,PUNGGOL COAST,MRT,217,NORTHSHORE,NORTH-EAST REGION,3
NE3,OUTRAM PARK,MRT,38,EVERTON PARK,CENTRAL REGION,0
NE3,OUTRAM PARK,MRT,46,SINGAPORE GENERAL HOSPITAL,CENTRAL REGION,0
NE3,OUTRAM PARK,MRT,3,CHINATOWN,CENTRAL REGION,0
NE3,OUTRAM PARK,MRT,299,PEOPLE'S PARK,CENTRAL REGION,0
NE3,OUTRAM PARK,MRT,18,PEARL'S HILL,CENTRAL REGION,0
NE4,CHINATOWN,MRT,3,CHINATOWN,CENTRAL REGION,0
NE4,CHINATOWN,MRT,299,PEOPLE'S PARK,CENTRAL REGION,0
NE4,CHINATOWN,MRT,6,CHINA SQUARE,CENTRAL REGION,0
NE4,CHINATOWN,MRT,18,PEARL'S HILL,CENTRAL REGION,0
NE5,CLARKE QUAY,MRT,19,BOAT QUAY,CENTRAL REGION,0
NE5,CLARKE QUAY,MRT,24,CLARKE QUAY,CENTRAL REGION,0
NE6,DHOBY GHAUT,MRT,92,DHOBY GHAUT,CENTRAL REGION,0
NE7,LITTLE INDIA,MRT,107,FARRER PARK,CENTRAL REGION,0
NE7,LITTLE INDIA,MRT,129,KAMPONG JAVA,CENTRAL REGION,0
NE7,LITTLE INDIA,MRT,68,MACKENZIE,CENTRAL REGION,0
NE8,FARRER PARK,MRT,117,LAVENDER,CENTRAL REGION,0
NE8,FARRER PARK,MRT,107,FARRER PARK,CENTRAL REGION,0
NE8,FARRER PARK,MRT,129,KAMPONG JAVA,CENTRAL REGION,0
NE9,BOON KENG,MRT,174,BENDEMEER,CENTRAL REGION,0
NS1,JURONG EAST,MRT,97,JURONG GATEWAY,WEST REGION,4
